token	pos	sem	stanford-token	stanford-pos
Central	JJ	A11.1+ M6	Central	NNP
Park	NN1	M7/L3	Park	NNP
NYC	NN1	Z99	NYC	NNP
And	CC	Z5	And	CC
of	RR21	Z4[i80.2.1	of	IN
course	RR22	Z4[i80.2.2 Z4	course	NN
,	,	""	,	,
you	PPY	Z8mf	you	PRP
can	VM	A7+	can	MD
argue	VVI	Q2.2	argue	VB
with	IW	Z5	with	IN
me	PPIO1	Z8mf	me	PRP
saying	VVG	Q2.1 Z4%	saying	VBG
that	CST	Z5 Z8	that	IN
all	DB	N5.1+	all	PDT
these	DD2	Z5 Z8	these	DT
problems	NN2	A12- X4.1 B2-	problems	NNS
can	VM	A7+	can	MD
be	VBI	Z5 A3+	be	VB
solved	VVN	X9.2+	solved	VBN
!	!	""	!	.
-----	-----	""	-----	CD
Making	VVG	A1.1.1 A9+ A2.2 S6+ A3+ A9- X9.2+ X6+	Making	VBG
a	AT1	Z5	a	DT
proper	JJ	A5.4+ A1.2+ A5.3+ S1.2.4+	proper	JJ
planning	NN1	X7+	planning	NN
ahead	II21	N4[i81.2.1 N4[i82.2.1 A5.1++[i82.2.1	ahead	RB
of	II22	N4[i81.2.2 N4[i82.2.2 A5.1++[i82.2.2	of	IN
the	AT	Z5	the	DT
time	NNT1	T1 T1.2 T1.3 T1.1.2 N6 N1 K2 G2.1@	time	NN
and	CC	Z5	and	CC
being	VBG	A3+ Z5	being	VBG
enough	RR	N5+ N6+	enough	JJ
flexible	JJ	O4.5 A2.1+	flexible	JJ
to	TO	Z5	to	TO
get	VVI	A9+ Z5 X9.2+ A2.1+ A2.2 M1 M2 X2.5+ E4.1-	get	VB
more	DAR	N5++	more	JJR
value	NN1	A11.1+ I1.3 G2.2 A4.1 N1	value	NN
for	IF	Z5	for	IN
less	DAR	N5--	less	JJR
money	NN1	I1	money	NN
can	VM	A7+	can	MD
reduce	VVI	N5-/A2.1 N3.2-/A2.1 A12-/A2.1 A2.2 F1	reduce	VB
costs	NN2	I1.3	costs	NNS
and	CC	Z5	and	CC
downsides	NN2	S8-	downsides	NNS
.	.	""	.	.
-----	-----	""	-----	CD
Couch	NN1	H5	Couch	NN
surfing	VVG	M4	surfing	NN
and	CC	Z5	and	CC
house	NN1	H1/S8+[i83.2.1 H1 P1/S5+c G1.1c	house	NN
sitting	VVG	H1/S8+[i83.2.2 M8 C1 P1 G1.1 G2.1 M6 A9+	sitting	VBG
are	VBR	A3+ Z5	are	VBP
solutions	NN2	X4.2 O1.2	solutions	NNS
to	II	Z5	to	TO
living	JJ	H4 L1+	living	NN
expenses	NN2	I1.3	expenses	NNS
.	.	""	.	.
-----	-----	""	-----	CD
Working	VVG	I3.1 A1.1.1 X9.2+ A2.1+ A2.2	Working	VBG
from	II	Z5	from	IN
a	AT1	Z5	a	DT
library	NN1	Q4.1/H1c	library	NN
with	IW	Z5	with	IN
a	AT1	Z5	a	DT
WiFi	NN1	Q4.3 Q1.3 M7 H3/S2mf F2/H1c A4.1 N3.6 S5+c Y2 S1.1.1 S6+/S1.2 S6+/S4 A5.3+ Z3c	WiFi	NNP
(	(	""	(	CD
or	CC	Z5	or	CC
working	VVG	I3.1 A1.1.1 X9.2+ A2.1+ A2.2	working	VBG
from	II	Z5	from	IN
your	APPGE	Z8	your	PRP$
place	NN1	M7 H1 A1.2 P1	place	NN
)	)	""	)	NN
and	CC	Z5	and	CC
bringing	VVG	M2 A2.2	bringing	VBG
your	APPGE	Z8[i84.2.1 Z8	your	PRP$
own	DA	Z8[i84.2.2 A9+ S5-	own	JJ
meals	NN2	F1	meals	NNS
with	IW	Z5	with	IN
you	PPY	Z8mf	you	PRP
are	VBR	A3+ Z5	are	VBP
solutions	NN2	X4.2 O1.2	solutions	NNS
to	II	Z5	to	TO
eating	VVG	F1/B1 A1.5.1/N5+	eating	NN
expenses	NN2	I1.3	expenses	NNS
.	.	""	.	.
-----	-----	""	-----	CD
And	CC	Z5	And	CC
all	DB	N5.1+	all	PDT
this	DD1	Z8 M6 Z5	this	DT
brings	VVZ	M2 A2.2	brings	VBZ
us	PPIO2	Z8	us	PRP
to	II	Z5	to	TO
the	AT	Z5	the	DT
last	MD	N4	last	JJ
disadvantage	NN1	A5.1-	disadvantage	NN
of	IO	Z5	of	IN
being	VBG	A3+ Z5	being	VBG
a	AT1	Z5	a	DT
digital	JJ	Y2 N1	digital	JJ
nomad	NN1	M1/S2mf	nomad	NN
:	:	""	:	:
It	PPH1	Z8	It	PRP
is	VBZ	A3+ Z5	is	VBZ
time-consuming	JJ	T1.3+	time-consuming	JJ
!	!	""	!	.
-----	-----	""	-----	CD
Planning	NN1	X7+	Planning	NNP
,	,	""	,	,
moving	VVG	M2 M1 A2.1+ E1 H4/A2.1	moving	VBG
from	II	Z5	from	IN
place	NN1	M6[i85.3.1 M7 H1 A1.2 P1	place	NN
to	II	M6[i85.3.2 Z5	to	TO
place	NN1	M6[i85.3.3 M7 H1 A1.2 P1	place	NN
,	,	""	,	,
finding	VVG	A10+ X2.1 X6+	finding	VBG
your	APPGE	Z8	your	PRP$
way	NN1	X4.2 M6 M3/H3 N3.3 A4.1 A1.1.1 T1.3	way	NN
at	II	Z5	at	IN
each	DD1	N5.1+	each	DT
new	JJ	T3-	new	JJ
destination	NN1	M6	destination	NN
,	,	""	,	,
trying	VVG	X8+ X2.4 Q2.2 G2.1 A12-	trying	VBG
to	TO	Z5	to	TO
optimize	VVI	A5.1+++/A2.1 Y2	optimize	VB
spendings	NN2	I1.2 A1.5.1 T1.3	spendings	NNS
it	PPH1	Z8	it	PRP
eats	VVZ	F1/B1 A1.5.1/N5+	eats	VBZ
up	RP	Z5 X9.1+ M6 N4 N5++ T2- A1.1.1 N5+/A2.1	up	RP
a	AT1	N5+[i86.2.1 N6+[i86.2.1 A13.3[i86.2.1 Z5	a	DT
lot	NN1	N5+[i86.2.2 N6+[i86.2.2 A13.3[i86.2.2	lot	NN
of	IO	Z5	of	IN
time	NNT1	T1 T1.2 T1.3 T1.1.2 N6 N1 K2 G2.1@	time	NN
and	CC	Z5	and	CC
energy	NN1	X5.2+ Y1	energy	NN
!	!	""	!	.
-----	-----	""	-----	CD
In	II	Z5	In	IN
NYC	NP1	Z99	NYC	NNP
,	,	""	,	,
the	AT	Z5	the	DT
planning	NN1	X7+	planning	NN
was	VBDZ	A3+ Z5	was	VBD
a	AT1	Z5	a	DT
necessary	JJ	S6+ A11.1+	necessary	JJ
part	NN1	N5.1- O2 M7 I3.1 S1.1.3+ K4	part	NN
of	IO	Z5	of	IN
my	APPGE	Z8	my	PRP$
daily	JJ	T1.1.2 N6+	daily	JJ
activities	NN2	A1.1.1	activities	NNS
despite	II	Z5	despite	IN
my	APPGE	Z8	my	PRP$
desire	NN1	X7+ S3.2	desire	NN
to	TO	Z5	to	TO
unwind	VVI	B1 A1.1.1	unwind	VB
and	CC	Z5	and	CC
just	RR	A14 T3--- T1.3- N3.3---	just	RB
go	VVI	A6.1+/A1.1.1[i87.4.1 M1 A2.1+ A1.1.1 A9- A1.8+ Q2.1 N6+ I2.2 A1.1.2 T2- S3.2 A6.3+ B2-/X1% B1% A6.1+[i88.2.1	go	VB
with	IW	A6.1+/A1.1.1[i87.4.2 Z5 A6.1+[i88.2.2	with	IN
the	AT	A6.1+/A1.1.1[i87.4.3 Z5	the	DT
flow	NN1	A6.1+/A1.1.1[i87.4.4 M4 M1 N5	flow	NN
.	.	""	.	.
-----	-----	""	-----	CD
When	CS	Z5	When	WRB
I	PPIS1	Z8mf	I	PRP
arrive	VV0	M1 T2-	arrive	VBP
at	II	Z5	at	IN
a	AT1	Z5	a	DT
new	JJ	T3-	new	JJ
place	NN1	M7 H1 A1.2 P1	place	NN
I	PPIS1	Z8mf	I	PRP
get	VV0	A9+ Z5 X9.2+ A2.1+ A2.2 M1 M2 X2.5+ E4.1-	get	VBP
a	RR21	A13.6[i89.2.1 A13.7[i89.2.1	a	DT
bit	RR22	A13.6[i89.2.2 A13.7[i89.2.2	bit	NN
overwhelmed	VVN	X9.2+/S7.3 X9.2+/G3 S7.1+ E1	overwhelmed	JJ
,	,	""	,	,
and	CC	Z5	and	CC
it	PPH1	Z8	it	PRP
is	VBZ	A3+ Z5	is	VBZ
hard	JJ	O4.5 A12- S1.2.5+ O4.1	hard	JJ
for	IF	Z5	for	IN
me	PPIO1	Z8mf	me	PRP
to	TO	Z5	to	TO
decide	VVI	X6+	decide	VB
where	RRQ	M6	where	WRB
to	TO	Z5	to	TO
go	VVI	M1 A2.1+ A1.1.1 A9- A1.8+ Q2.1 N6+ I2.2 A1.1.2 T2- S3.2 A6.3+ B2-/X1% B1%	go	VB
and	CC	Z5	and	CC
what	DDQ	Z8 Z5	what	WP
to	TO	Z5	to	TO
see	VVI	X3.4 X2.1 S1.1.1 X2.5+ X2.3+ X3 A7+ Z4 S3.2	see	VB
I	PPIS1	Z8mf	I	PRP
want	VV0	X7+ S6+ A7+ S3.2 A9-	want	VBP
to	TO	Z5	to	TO
go	VVI	M1 A2.1+ A1.1.1 A9- A1.8+ Q2.1 N6+ I2.2 A1.1.2 T2- S3.2 A6.3+ B2-/X1% B1%	go	VB
and	CC	Z5	and	CC
see	VVI	X3.4 X2.1 S1.1.1 X2.5+ X2.3+ X3 A7+ Z4 S3.2	see	VB
everything	PN1	Z8/N5.1+	everything	NN
!	!	""	!	.
-----	-----	""	-----	CD
But	CCB	Z5	But	CC
if	CS	Z7	if	IN
I	PPIS1	Z8mf	I	PRP
want	VV0	X7+ S6+ A7+ S3.2 A9-	want	VBP
to	TO	Z5	to	TO
both	RR	Z5	both	DT
do	VDI	A1.1.1 G2.2- X9.2+ E3- N5+ G2.1% Z5	do	VBP
the	AT	Z5	the	DT
work	NN1	I3.1 A1.1.1 Q4 K2 C1	work	NN
and	CC	Z5	and	CC
see	VV0	X3.4 X2.1 S1.1.1 X2.5+ X2.3+ X3 A7+ Z4 S3.2	see	VB
the	AT	Z5	the	DT
city	NN1	M7c M7/I2.1c	city	NN
,	,	""	,	,
I	PPIS1	Z8mf	I	PRP
have	VH0	S6+[i90.2.1 A9+ Z5 A2.2 S4	have	VBP
to	TO	S6+[i90.2.2 Z5	to	TO
prepare	VVI	A1.1.1 F1	prepare	VB
a	AT1	Z5	a	DT
daily	JJ	T1.1.2 N6+	daily	JJ
route	NN1	M6 X4.2	route	NN
,	,	""	,	,
allocate	VV0	A9-	allocate	VB
a	AT1	N5[i91.3.1 Z5	a	DT
certain	JJ	N5[i91.3.2 A4.2+ A7+	certain	JJ
amount	NN1	N5[i91.3.3 N5	amount	NN
of	IO	Z5	of	IN
time	NNT1	T1 T1.2 T1.3 T1.1.2 N6 N1 K2 G2.1@	time	NN
for	IF	Z5	for	IN
each	DD1	N5.1+	each	DT
activity	NN1	A1.1.1	activity	NN
,	,	""	,	,
and	CC	Z5	and	CC
then	RT	N4 Z5 T1.2	then	RB
to	TO	Z5	to	TO
stay	VVI	M8 T2++ H4	stay	VB
on	II	Z5	on	IN
the	AT	Z5	the	DT
schedule	NN1	X7+ Q1.2/T1/M3 Q1.2/T1/M4 Q1.2/T1/M5 P1	schedule	NN
.	.	""	.	.
-----	-----	""	-----	CD
I	PPIS1	Z8mf	I	PRP
am	VBM	A3+ Z5	am	VBP
sure	JJ	A7+ Z4	sure	JJ
that	CST	Z8 Z5	that	WDT
are	VBR	A3+ Z5	are	VBP
people	NN	S2mfc	people	NNS
who	PNQS	Z8	who	WP
love	VV0	E2+	love	VBP
planning	NN1	X7+	planning	NN
and	CC	Z5	and	CC
enjoy	VV0	E2+ A9+ E4.1+	enjoy	VB
having	VHG	A9+ Z5 A2.2 S4	having	VBG
a	AT1	Z5	a	DT
daily	JJ	T1.1.2 N6+	daily	JJ
agenda	NN1	Q1.2/X7+	agenda	NN
while	CS	Z5	while	IN
visiting	VVG	S1.1.1 M1	visiting	VBG
new	JJ	T3-	new	JJ
places	NN2	M7 H1 A1.2 P1	places	NNS
.	.	""	.	.
-----	-----	""	-----	CD
I	PPIS1	Z8mf	I	PRP
am	VBM	A3+ Z5	am	VBP
not	XX	Z6	not	RB
such	DA	A13.3[i92.2.1 Z5 Z8	such	JJ
a	AT1	A13.3[i92.2.2 Z5	a	DT
person	NN1	S2mfc	person	NN
.	.	""	.	.
-----	-----	""	-----	CD
I	PPIS1	Z8mf	I	PRP
have	VH0	A9+ Z5 A2.2 S4	have	VBP
enough	DD	N5+ N6+	enough	RB
planning	NN1	X7+	planning	VBG
and	CC	Z5	and	CC
strict	JJ	S1.2.5+ A1.7+	strict	JJ
schedule	NN1	X7+ Q1.2/T1/M3 Q1.2/T1/M4 Q1.2/T1/M5 P1	schedule	NN
in	II	Z5	in	IN
my	APPGE	Z8	my	PRP$
regular	JJ	A6.2+ N6+ O4.1 I3.1 T2++ A13.3	regular	JJ
life	NN1	L1+ A3+ T1.3 S1.1.1 A1.1.1 X5.2+ Q4.1 A11.1+++ A5.4+/C1	life	NN
and	CC	Z5	and	CC
when	CS	Z5	when	WRB
I	PPIS1	Z8mf	I	PRP
am	VBM	A3+ Z5	am	VBP
not	XX	Z6	not	RB
at	II	Z5	at	IN
work	NN1	I3.1 A1.1.1 Q4 K2 C1	work	NN
,	,	""	,	,
I	PPIS1	Z8mf	I	PRP
like	VV0	E2+	like	VBP
to	TO	Z5	to	TO
relax	VVI	E3+ K1 A1.7-	relax	VB
and	CC	Z5	and	CC
to	II	Z5	to	TO
not	XX	Z6	not	RB
think	VVI	X2.1	think	VB
too	RG	N5.2+[i93.2.1 N5.2+ A13.3	too	RB
much	DA1	N5.2+[i93.2.2 N5+ I1.3+	much	RB
.	.	""	.	.
-----	-----	""	-----	CD
Not	XX	Z6	Not	RB
possible	JJ	A7+	possible	JJ
if	CS	Z7	if	IN
you	PPY	Z8mf	you	PRP
are	VBR	A3+ Z5	are	VBP
a	AT1	Z5	a	DT
digital	JJ	Y2 N1	digital	JJ
nomad	NN1	M1/S2mf	nomad	NN
!	!	""	!	.
view	VV0@	X2.1 X3.4 X2.4	view	VB
on	II	Z5	on	IN
Manhattan	NP1	Z2 F2	Manhattan	NNP
from	II	Z5	from	IN
Central	JJ	Z1mf[i96.3.1 Z3c[i96.3.1 Z3c Z2[i94.2.1 Z1mf[i95.2.1 Z3c[i95.2.1	Central	NNP
Park	NP1	Z1mf[i96.3.2 Z3c[i96.3.2 Z1mf[i98.3.1 Z3c[i98.3.1 Z2[i94.2.2 Z1mf[i95.2.2 Z3c[i95.2.2 Z1mf[i97.2.1 Z3c[i97.2.1	Park	NNP
NYC	NP1	Z3c[i96.3.3 Z1mf[i96.3.3 Z1mf[i98.3.2 Z3c[i98.3.2 Z1mf[i97.2.2 Z3c[i97.2.2 Z1mf[i99.2.1 Z3c[i99.2.1	NYC	NNP
Central	JJ	Z3c[i98.3.3 Z1mf[i98.3.3 Z3c Z1mf[i99.2.2 Z3c[i99.2.2 Z2[i100.2.1	Central	NNP
Park	NN1	M7/L3 Z2[i100.2.2	Park	NNP
,	,	""	,	,
NYC	NP1	Z99	NYC	NNP
is	VBZ	A3+ Z5	is	VBZ
a	AT1	Z5	a	DT
perfect	JJ	A5.1+++ A1.2+++ Q3	perfect	JJ
place	NN1	M7 H1 A1.2 P1	place	NN
to	TO	Z5	to	TO
relax	VVI	E3+ K1 A1.7-	relax	VB
and	CC	Z5	and	CC
unwind	VVI	B1 A1.1.1	unwind	VB
Conclusion	NN1	X6+ T2-	Conclusion	NNP
Generally	RR	A6.2+ A4.2- A13.2	Generally	RB
,	,	""	,	,
I	PPIS1	Z8mf	I	PRP
am	VBM	A3+ Z5	am	VBP
a	AT1	Z5	a	DT
homebody	NN1	T3+/S2 T3+/S2mf	homebody	NN
who	PNQS	Z8	who	WP
does	VDZ	Z5 A1.1.1 G2.2- X9.2+ E3- G2.1%	does	VBZ
not	XX	Z6	not	RB
spend	VVI	I1.2 A1.5.1 T1.3	spend	VB
too	RG	N5.2+[i101.2.1 N5.2+ A13.3	too	RB
much	DA1	N5.2+[i101.2.2 N5+ I1.3+	much	JJ
time	NNT1	T1 T1.2 T1.3 T1.1.2 N6 N1 K2 G2.1@	time	NN
traveling	VVG	M1	traveling	VBG
on	II	N6+[i103.4.1 Z5 A6.2+[i102.4.1	on	IN
a	AT1	N6+[i103.4.2 Z5 A6.2+[i102.4.2	a	DT
regular	JJ	N6+[i103.4.3 A6.2+ N6+ O4.1 I3.1 T2++ A13.3 A6.2+[i102.4.3	regular	JJ
basis	NN1	N6+[i103.4.4 A2.2 T2+ X4.2 A6.2+[i102.4.4	basis	NN
.	.	""	.	.
-----	-----	""	-----	CD
But	CCB	Z5	But	CC
when	CS	Z5	when	WRB
I	PPIS1	Z8mf	I	PRP
do	VD0	Z5 A1.1.1 G2.2- X9.2+ E3- N5+ G2.1%	do	VBP
travel	VVI	M1	travel	VB
,	,	""	,	,
I	PPIS1	Z8mf	I	PRP
like	VV0	E2+	like	VBP
to	TO	Z5	to	TO
immerse	VVI	M2 X5.2+	immerse	VB
myself	PPX1	Z8mf	myself	PRP
into	II	Z5	into	IN
new	JJ	T3-	new	JJ
places	NN2	M7 H1 A1.2 P1	places	NNS
and	CC	Z5	and	CC
not	XX	Z6	not	RB
to	TO	Z5	to	TO
think	VVI	X2.1	think	VB
about	II	Z5	about	IN
anything	PN1	Z8	anything	NN
else	RR	A6.1- Z4	else	RB
.	.	""	.	.
-----	-----	""	-----	CD
There	EX	Z5	There	EX
is	VBZ	A3+ Z5	is	VBZ
time	NNT1	T1 T1.2 T1.3 T1.1.2 N6 N1 K2 G2.1@	time	NN
to	TO@	Z5	to	TO
work	VVI	I3.1 A1.1.1 X9.2+ A2.1+ A2.2	work	VB
and	CC	Z5	and	CC
there	EX	Z5	there	EX
is	VBZ	A3+ Z5	is	VBZ
time	NNT1	T1 T1.2 T1.3 T1.1.2 N6 N1 K2 G2.1@	time	NN
to	TO	Z5	to	TO
play	VVI	K1 K5.1 K5.2 K2 K3 A1.1.1 K6	play	VB
.	.	""	.	.
-----	-----	""	-----	CD
And	CC	Z5	And	CC
it	PPH1	Z8	it	PRP
seems	VVZ	A8	seems	VBZ
I	PPIS1	Z8mf	I	PRP
do	VD0	Z5 A1.1.1 G2.2- X9.2+ E3- N5+ G2.1%	do	VBP
not	XX	Z6	not	RB
like	VVI	E2+	like	VB
to	TO	Z5	to	TO
mix	VVI	A2.1+ S1.1.3+ K3	mix	VB
them	PPHO2	Z8mfn	them	PRP
both	DB2	N5	both	DT
.	.	""	.	.
-----	-----	""	-----	CD
And	CC	Z5	And	CC
I	PPIS1	Z8mf	I	PRP
do	VD0	Z5 A1.1.1 G2.2- X9.2+ E3- N5+ G2.1%	do	VBP
not	XX	Z6	not	RB
like	VVI	E2+	like	VB
traveling	VVG	M1	traveling	VBG
enough	DD	N5+ N6+	enough	RB
to	TO	Z5	to	TO
stand	VVI	M6 M2 M8 M1 T2++ N3 A3+ X2.1 A7 G1.2 S8+ S7.4+ I2.2 S1.2.5+	stand	VB
issues	NN2	X4.1 Q4.2 S4 A9-	issues	NNS
popping	VVG	A8+[i104.2.1 M1[i104.2.1 M2[i104.2.1 X3.2 M1	popping	VBG
up	RP	A8+[i104.2.2 M1[i104.2.2 M2[i104.2.2	up	RP
when	CS	Z5	when	WRB
I	PPIS1	Z8mf	I	PRP
arrive	VV0	M1 T2-	arrive	VBP
at	II	Z5	at	IN
a	AT1	Z5	a	DT
new	JJ	T3-	new	JJ
place	NN1	M7 H1 A1.2 P1	place	NN
.	.	""	.	.
-----	-----	""	-----	CD
So	RR	Z5 A13.3	So	RB
,	,	""	,	,
the	AT	Z5	the	DT
conclusion	NN1	X6+ T2-	conclusion	NN
is	VBZ	A3+ Z5	is	VBZ
I	PPIS1	Z8mf	I	PRP
do	VD0	Z5 A1.1.1 G2.2- X9.2+ E3- N5+ G2.1%	do	VBP
not	XX	Z6	not	RB
want	VVI	X7+ S6+ A7+ S3.2 A9-	want	VB
to	TO	Z5	to	TO
be	VBI	A3+ Z5	be	VB
a	AT1	Z5	a	DT
digital	JJ	Y2 N1	digital	JJ
nomad	NN1	M1/S2mf	nomad	NN
.	.	""	.	.
-----	-----	""	-----	CD
At	RR21	A13.7[i105.2.1	At	IN
least	RR22	A13.7[i105.2.2 A13.7	least	JJS
for	IF	Z5	for	IN
now	RT	T1.1.2 Z4	now	RB
:	:	""	:	:
)	)	""	)	CD
delicious	JJ	X3.1+ O4.2+	delicious	JJ
ice	NN1	F1[i106.2.1 O1.1	ice	NN
cream	NN1	F1[i106.2.2 F1 B3 O1.2 O4.3 A5.1+++	cream	NN
rolls	NN2	O2 F1 M1 Q1.2	rolls	NNS
at	II	Z5	at	IN
10below	FO	Z99	10below	CD
NYC	NP1	Z99	NYC	NNP
Delicious	JJ	X3.1+ O4.2+	Delicious	NNP
ice	NN1	F1[i107.2.1 O1.1	ice	NN
cream	NN1	F1[i107.2.2 F1 B3 O1.2 O4.3 A5.1+++	cream	NN
rolls	NN2	O2 F1 M1 Q1.2	rolls	NNS
at	II	Z5	at	IN
10below	FO	Z99	10below	CD
NYC	NP1	Z99	NYC	NNP
Check	VV0	X2.4[i108.2.1 I2.2[i108.2.1 A5.2+[i108.2.1 X2.4/A5.3 A15 Q1.2 T2- M5	Check	VB
out	RP	X2.4[i108.2.2 I2.2[i108.2.2 A5.2+[i108.2.2 M6	out	RP
my	APPGE	Z8	my	PRP$
video	NN1	Q4.3	video	NN
of	IO	Z5	of	IN
the	AT	Z5	the	DT
process	NN1	A1.1.1 X4.2	process	NN
of	IO	Z5	of	IN
cooking	VVG	F1	cooking	NN
ice	NN1	F1[i109.2.1 O1.1	ice	NN
cream	NN1	F1[i109.2.2 F1 B3 O1.2 O4.3 A5.1+++	cream	NN
rolls	NN2	O2 F1 M1 Q1.2	rolls	NNS
on	II	Z5	on	IN
my	APPGE	Z8	my	PRP$
Instagram	NN1	Z99	Instagram	NNP
.	.	""	.	.
-----	-----	""	-----	CD
Also	RR	N5++	Also	RB
,	,	""	,	,
all	DB	N5.1+	all	PDT
the	AT	Z5	the	DT
pictures	NN2	C1 Q4.3 X4.1	pictures	NNS
in	II	Z5	in	IN
the	AT	Z5	the	DT
post	NN1	Q1.2 O2 I3.1 M6	post	NN
are	VBR	Z5 A3+	are	VBP
taken	VVN	A9+ T1.3 C1 A1.1.1 M2 S7.1- A2.1+ X2.4 S6+ S7.4+ N3 P1 M1 X2.5+ F1@ F2@ Q1.2@ B3@	taken	VBN
by	II	Z5	by	IN
me	PPIO1	Z8mf	me	PRP
,	,	""	,	,
and	CC	Z5	and	CC
you	PPY	Z8mf	you	PRP
can	VM	A7+	can	MD
find	VVI	A10+ X2.1 X6+	find	VB
them	PPHO2	Z8mfn	them	PRP
on	II	Z5	on	IN
my	APPGE	Z8	my	PRP$
Instagram	NN1	Z99	Instagram	NN
dushonok	NN1	Z99	dushonok	NN
.	.	""	.	.
-----	-----	""	-----	CD
What	DDQ	Z8 Z5	What	WP
do	VD0	Z4[i110.3.1 Z5 A1.1.1 G2.2- X9.2+ E3- N5+ G2.1%	do	VBP
you	PPY	Z4[i110.3.2 Z8mf	you	PRP
think	VVI	Z4[i110.3.3 X2.1	think	VB
about	II	Z5	about	IN
digital	JJ	Y2 N1	digital	JJ
nomadism	NN1	Z99	nomadism	NN
,	,	""	,	,
guys	NN2	S2.2m O2	guys	NNS
?	?	""	?	.
-----	-----	""	-----	CD
Would	VM	A7+	Would	MD
you	PPY	Z8mf	you	PRP
like	VVI	E2+	like	VB
to	TO	Z5	to	TO
do	VDI	Z5 A1.1.1 G2.2- X9.2+ E3- N5+ G2.1%	do	VB
it	PPH1	Z8	it	PRP
?	?	""	?	.
-----	-----	""	-----	CD
Related	JJ	A2.2 S4	Related	JJ
Posts	NN2	Q1.2 O2 I3.1 M6 M2	Posts	NNS
"</text>
"	NULL	""	</text>	VBP
